Atom 0-1-0	[0, 0, 1, 1, 4]
Atom 0-1-1	[3]
Atom 0-1-2	[5, 5, 10, 10, 10, 11, 11, 11]
Atom 0-1-3	[6, 6]
Atom 0-1-4	[7, 9, 9]
Atom 1-1-0	[0, 1]
Atom 1-1-1	[0, 1, 7]
Atom 1-1-2	[7]
Atom 1-1-3	[9]
Atom 3-2-0	[0, 1]
Atom 3-2-1	[6]
Atom 3-2-2	[9]
Atom 3-2-3	[12]
Atom 1-3-0	[0, 1]
Atom 1-3-1	[0]
Atom 1-3-2	[0]
Atom 1-3-3	[3]
Atom 1-3-4	[4]
Atom 1-3-5	[5]
Atom 1-3-6	[10]
Atom 1-2-0	[0, 1]
Atom 1-2-1	[2]
Atom 1-2-2	[3]
Atom 1-2-3	[6]
Atom 2-3-0	[1]
Atom 2-3-1	[4]
Atom 2-3-2	[7]
Atom 2-3-3	[12]
Atom 4-4-0	[1]
Atom 4-4-1	[6]
Atom 4-4-2	[8, 13]
Atom 4-4-3	[10]
Atom 1-4-0	[1]
Atom 1-4-1	[3]
Atom 1-4-2	[4]
Atom 0-2-0	[2, 2, 8, 13]
Atom 0-2-1	[3]
Atom 0-2-2	[4]
Atom 0-2-3	[8, 13]
Atom 0-2-4	[10, 10, 10, 11, 11, 11]
Atom 0-3-0	[2]
Atom 0-3-1	[3]
Atom 0-3-2	[8, 13]
Atom 0-3-3	[11]
Atom 3-3-0	[2]
Atom 3-3-1	[6]
Atom 3-3-2	[7]
Atom 1-5-0	[2]
Atom 0-5-0	[3]
Atom 3-4-0	[4]
Atom 3-4-1	[5]
Atom 3-4-2	[6]
Atom 3-4-3	[10]
Atom 3-4-4	[12]
Atom 5-4-0	[4]
Atom 2-4-0	[5]
Atom 2-4-1	[5]
Atom 2-4-2	[11]
Atom 2-4-3	[12]
Atom 6-6-0	[5]
Atom 7-6-0	[5]
Atom 8-7-0	[5]
Atom 9-7-0	[5]
Atom 2-1-0	[6, 6]
Atom 2-1-1	[6, 8, 12, 12, 13]
Atom 4-2-0	[6]
Atom 3-1-0	[6]
Atom 1-0-0	[7, 7, 9]
Atom 2-0-0	[7]
Atom 0-4-0	[8, 13]
Atom 2-6-0	[8, 13]
Atom 2-6-1	[8, 13]
Atom 3-6-0	[8, 13]
Atom 5-7-0	[8, 13]
Atom 6-7-0	[8, 13]
Atom 1-7-0	[8, 13]
Atom 1-6-0	[8, 13]
Atom 2-8-0	[8, 13]
Atom 3-9-0	[8, 13]
Atom 2-7-0	[8, 13]
Atom 6-10-0	[8, 13]
Atom 4-7-0	[8, 13]
Atom 4-3-0	[11]
Atom 5-3-0	[12]
Atom 6-3-0	[12]
Atom 7-3-0	[12]
